"Species","X","Y"
"Hypopachus variolosus",-87.176172,20.953382
"Hypopachus variolosus",-89.810778,18.108533
"Hypopachus variolosus",-87.702344,18.732078
"Hypopachus variolosus",-89.778495,19.735238
"Hypopachus variolosus",-86.912187,20.86017
"Hypopachus variolosus",-89.41694,18.591308
"Hypopachus variolosus",-89.182892,21.23093
"Hypopachus variolosus",-100.715177,20.230624
"Hypopachus variolosus",-89.1829,21.230788
"Hypopachus variolosus",-87.393028,20.457547
"Hypopachus variolosus",-87.902062,21.006253
"Hypopachus variolosus",-89.836105,20.333912
"Hypopachus variolosus",-104.354295,20.50012
"Hypopachus variolosus",-87.39308,20.460205
"Hypopachus variolosus",-103.404042,20.774235
"Hypopachus variolosus",-105.349591,20.341927
"Hypopachus variolosus",-105.349985,20.34128
"Hypopachus variolosus",-102.452982,21.878655
"Hypopachus variolosus",-87.632845,20.648686
"Hypopachus variolosus",-103.183442,20.526722
"Hypopachus variolosus",-99.087839,18.94883
"Hypopachus variolosus",-103.81065,20.384278
"Hypopachus variolosus",-88.412534,18.687954
"Hypopachus variolosus",-87.079829,20.860562
"Hypopachus variolosus",-105.039147,19.493042
"Hypopachus variolosus",-93.211708,18.283016
"Hypopachus variolosus",-100.006519,25.34303
"Hypopachus variolosus",-99.764196,25.040278
"Hypopachus variolosus",-89.316929,21.123089
"Hypopachus variolosus",-89.957489,20.583422
"Hypopachus variolosus",-89.912095,20.55098
"Hypopachus variolosus",-103.396017,20.790923
"Hypopachus variolosus",-89.780272,20.399691
"Hypopachus variolosus",-103.217163,20.590088
"Hypopachus variolosus",-102.770617,20.330377
"Hypopachus variolosus",-89.897353,18.373667
"Hypopachus variolosus",-103.18566,20.421139
"Hypopachus variolosus",-105.117997,20.912567
"Hypopachus variolosus",-101.135231,20.184879
"Hypopachus variolosus",-97.355026,20.970501
"Hypopachus variolosus",-89.309487,17.962455
"Hypopachus variolosus",-89.309865,17.962503
"Hypopachus variolosus",-89.310836,17.962974
"Hypopachus variolosus",-89.308821,17.962356
"Hypopachus variolosus",-89.297522,17.958425
"Hypopachus variolosus",-102.960766,20.380542
"Hypopachus variolosus",-89.5839,21.148042
"Hypopachus variolosus",-89.582772,21.1503
"Hypopachus variolosus",-89.376276,21.14029
"Hypopachus variolosus",-89.376288,21.140689
"Hypopachus variolosus",-102.196329,21.755505
"Hypopachus variolosus",-89.376297,21.140672
"Hypopachus variolosus",-101.682453,18.812592
"Hypopachus variolosus",-89.56327,21.136478
"Hypopachus variolosus",-89.376272,21.140397
"Hypopachus variolosus",-87.583838,20.634472
"Hypopachus variolosus",-89.376312,21.140642
"Hypopachus variolosus",-89.497125,21.127295
"Hypopachus variolosus",-89.497987,21.125675
"Hypopachus variolosus",-89.378783,21.137628
"Hypopachus variolosus",-89.376305,21.14065
"Hypopachus variolosus",-89.49807,21.125511
"Hypopachus variolosus",-89.377617,21.140381
"Hypopachus variolosus",-87.305518,20.409249
"Hypopachus variolosus",-88.141896,21.167592
"Hypopachus variolosus",-87.63408,20.646561
"Hypopachus variolosus",-89.502442,21.110542
"Hypopachus variolosus",-89.50402,21.106914
"Hypopachus variolosus",-89.797188,21.137286
"Hypopachus variolosus",-103.376158,20.443475
"Hypopachus variolosus",-89.500617,21.113133
"Hypopachus variolosus",-87.672793,20.117604
"Hypopachus variolosus",-87.672793,20.117604
"Hypopachus variolosus",-87.344929,20.353441
"Hypopachus variolosus",-89.889283,18.447322
"Hypopachus variolosus",-89.896378,18.413983
"Hypopachus variolosus",-89.487192,18.403144
"Hypopachus variolosus",-101.694897,19.813559
"Hypopachus variolosus",-101.694907,19.8136
